consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
26,Malcom,2017-2018,Bordeaux,RW,0.9125135942670359,0.12920205,0.8342185684139429,31.0,82.0,3.0,38.666666666666664
27,Houssem Aouar,2018-2019,Lyon,AM,0.8636430017890285,0.91743,0.664198627886397,36.0,20.0,60.0,38.666666666666664
28,Martin Terrier,2020-2021,Rennes,LW,0.7615412308294154,0.8504323,0.7408538233786699,49.0,41.0,27.0,39.0
29,Timothy Weah,2021-2022,Lille,RW,0.8585377765499215,0.7335596,0.7367767405082873,37.0,56.0,29.0,40.666666666666664
30,Armand Lauriente,2020-2021,Lorient,RW,0.7897029566710546,0.87756383,0.7001452252973986,47.0,33.0,42.0,40.666666666666664
31,Houssem Aouar,2019-2020,Lyon,AM,0.9698608247561281,0.9443216,0.5918975265147511,20.0,15.0,94.0,43.0
32,Jonathan Bamba,2017-2018,Saint-Étienne,LW,0.9127535078876061,0.75845516,0.6845081295260078,30.0,53.0,49.0,44.0
33,Raphinha,2019-2020,Rennes,LW,0.7015481953296593,0.8600916,0.7092867451665649,61.0,39.0,37.0,45.666666666666664
34,Pablo Sarabia,2020-2021,Paris S-G,RW,0.9274550721946166,0.9093689,0.6132216312455823,27.0,25.0,86.0,46.0
35,Maxwel Cornet,2017-2018,Lyon,LW,0.8137132822878469,0.30779737,0.732135650815383,44.0,66.0,32.0,47.333333333333336
36,Kamaldeen Sulemana,2021-2022,Rennes,RW,0.9183092234282733,0.23499213,0.6944990510562623,29.0,69.0,45.0,47.666666666666664
37,Sofiane Diop,2021-2022,Monaco,LW,0.7692502634960628,0.1328065,0.7762581613052771,48.0,79.0,18.0,48.333333333333336
38,Giovani Lo Celso,2017-2018,Paris S-G,AM,0.9636805009124556,0.9705338,0.5620546840729218,22.0,9.0,114.0,48.333333333333336
39,Pablo Sarabia,2019-2020,Paris S-G,RW,0.8706152381228531,0.9006754,0.6061746474585158,35.0,27.0,88.0,50.0
40,Konrad De La Fuente,2021-2022,Marseille,LW,0.8016129154597461,0.12984355,0.7598474569881208,46.0,81.0,23.0,50.0
